1,2,3,4
57.7,53.8,75.1,8816.5
57.7,52.7,69,8348
57.7,52.3,63.6,7836.5
57.7,52.5,54,7110.5
57.7,52.1,47.8,6801
57.7,51.1,42.9,6347.3
57.6,54.8,42.3,6022.5
57.7,54,38.8,5619.3
57.8,47.8,34.1,5698.3
57.7,46.8,37.8,6314.3
57.8,46.2,43.1,6722.8
57.5,46.2,48.4,7180.3
57.5,46.4,54.4,7705.8
57.7,46.4,59.7,8245
57.7,46.6,64.8,8899.5
57.7,47,68.8,9070.5
57.8,45.4,70.2,9561.3
57.7,44.2,64.8,9298.5
57.7,43.8,59.9,8830.3
57.7,43.3,54.2,8299
57.7,42.5,49.4,7877.8
57.8,42.3,43.1,7459.3
57.7,42.1,38.2,7069.3
57.7,41.7,34.7,6821.8
57.7,39.6,34.1,7217.5
57.6,39,37.6,7561.5
57.7,38.8,43.1,8105.5
57.6,38.8,48.8,8741.3
57.8,38.8,54.8,9350.5
57.7,39,59.9,9902.5
57.7,39.4,66.3,10400
57.7,39.4,70,10725.3
57.8,38,72,11444.8
57.8,37.1,66.3,11045
57.7,36.5,60.7,10485.3
57.7,36.7,53.4,10160
57.6,36.5,48,9610.3
57.7,36.5,42.9,8962.3
57.7,35.9,37.6,8460.8
57.7,35.5,34.1,8199
57.7,33.3,34.1,8670
57.7,32.9,37.1,9179.5
57.5,32.7,42.7,9780
57.8,32.5,48,10235
57.8,32.7,54,10967.3
57.6,32.9,59.5,11586.3
57.7,32.9,65.2,12192.8
57.5,33.1,69.4,12664
57.8,33.3,70.6,12756.5
57.7,32.7,65.2,12309.3
57.5,32.3,59.3,11646.7
57.5,32.3,53.4,11167.3
57.7,31.9,55.2,11152.7
57.7,31.3,48.2,10597.7
57.8,31,41.5,9834.3
57.7,30.6,36.7,9510.8
63,30.6,36.3,10005
62.8,30.6,40.6,10499.8
62.8,30.8,47.2,10922
62.7,31,54,11798.8
62.8,31.3,59.9,12445
62.7,31.9,66.3,13068
62.5,32.5,73,13760.8
62.8,32.7,77.9,14439.3
62.8,33.7,79.8,14295.3
62.8,34.3,76.5,13685.8
62.7,35.1,70,12527
62.6,35.7,60.7,11273.3
62.9,35.7,54,10604.3
62.8,35.5,47.2,9965
62.8,35.3,40.4,9358.3
62.7,35.1,36.1,9025
62.7,35.7,35.7,8910.8
62.6,36.9,39.6,8947.8
62.9,38,46.4,9316.3
62.8,38.6,53.2,9968.3
62.8,39,59.7,10508.5
62.8,39.4,65.9,11040.8
62.6,39.8,73.4,11668
62.8,40,77.5,12202.5
62.8,40.7,79.2,12263.8
62.8,41.3,75.9,11547
62.8,42.1,68.5,10507.3
62.9,42.7,60.5,9595.8
62.7,42.5,54.2,8924.3
62.8,42.3,47.2,8380.3
62.8,41.9,40.4,7900.3
62.8,41.7,35.9,7617.8
62.8,42.3,35.5,7496.8
62.5,43.5,39.4,7500.3
62.8,44.4,46.2,7962.5
62.8,45.2,52.9,8438
62.8,45.4,59.3,8942.3
62.8,45.8,66.7,9602
62.8,46.2,73.2,10233
62.7,46.4,77.7,10564.8
62.8,47.2,79.2,10709
62.8,48,75.9,10012.8
62.7,48.4,70.8,9196
62.8,49,60.7,8356.5
62.8,49.2,53.6,7639.3
62.8,48.8,47,7177.3
62.8,48.6,40.4,6703.3
62.8,48.4,36.1,6388.3
62.8,49,35.5,6273.3
62.9,50.3,39.4,6451.8
62.8,51.1,46,6813.5
62.8,51.7,52.9,7202.8
62.7,52.1,59.5,7683.5
62.8,52.5,66.5,8144.7
62.8,52.7,73.2,8696.8
62.7,52.9,77.3,9066.5
62.8,53.8,79.2,9039
62.8,54.4,75.7,8691.5
62.8,55.6,67.1,7566
62.7,56,59.7,6864.3
62.8,55.8,53.6,6420
62.6,55.6,46.8,6020
62.8,55.2,40.2,5525.8
62.9,55,36.3,5360.3
62.8,55.6,35.5,5300.3
62.8,56.9,39.4,5353.3
62.8,57.9,46,5584.7
62.8,58.3,52.9,6043
62.8,58.9,59.5,6568
62.8,59.1,66.1,6889.8
62.9,59.5,73,7505
62.8,59.7,77.5,7805.3
62.6,59.9,78.6,7760
62.8,60.1,75.7,7570
62.9,60.3,69.4,6953.3
62.8,60.5,60.3,6082.8
62.8,60.3,53.6,5812.5
62.8,59.9,47,5317.8
62.7,59.7,40.4,4887
62.7,59.5,35.9,4825.5
68,59.3,35.5,4973.3
67.9,59.3,39.4,5290
67.9,59.5,46.2,5749
67.8,59.7,52.9,6116.5
68,60.1,59.5,6583.7
67.9,60.3,66.5,7130.8
67.9,60.3,73.4,7685.8
67.9,60.3,77.5,7747
67.8,60.3,79.2,7898.5
67.9,59.5,76.5,7828
67.8,58.9,70.8,7409.3
